CustomerId;FirstName;LastName;Email;Phone;RegDate;Country
101;Anna;Andersson;anna.a@telia.se;070-1234567;2022-01-15;Sweden
102;Bertil;Bengtsson;bertil.b@gmail.com;46712345678;2022-02-20;SE
103;Cecilia;Carlsson;cissi_c@outlook;739998877;2022-03-10;Sverige
104;David;Dahl;;08-123456;2022-04-05;Norway
101;Anna;Andersson;anna.a@telia.se;070-1234567;2022-01-15;Sweden
105;Erik;Eriksson;erik.e@company.com;705554433;2022-05-12;Norway
106;Fredrik;Forsberg;fredde@web.se;761112233;2022-06-01;Sweden
107;Gunilla;Grahn;gunilla@telia.se;702223344;2022-06-15;SE
108;Håkan;Hellström;hakan@musik.se;731110011;2022-07-20;Sweden
109;Ingrid;Ivarsson;ingrid.i@huset.se;08-555666;2022-08-01;Sweden
110;Johan;Jonsson;johan.j@work.com;704445566;2022-08-15;Sverige
111;Karin;Karlsson;karin.k@mail.se;768889900;2022-09-01;Sweden
112;Lars;Larsson;lasse@telia.se;707776655;2022-09-15;Sweden
113;Maria;Magnusson;maria.m@web.com;;2022-10-01;Norway
114;Nils;Nilsson;nils.n@post.se;734443322;2022-10-15;SE
115;Olof;Olofsson;olle@mail.se;701112233;2022-11-01;Sweden
116;Petra;Persson;petra.p@work.se;762223344;2022-11-15;Sweden
117;Quentin;Quick;q@fast.com;709998877;2022-12-01;USA
118;Rikard;Robertsson;rikard.r@mail.se;736665544;2022-12-15;Sweden
119;Sara;Sjöberg;sara.s@web.se;703332211;2023-01-01;Sweden
120;Tomas;Torstensson;tomas.t@mail.com;764445566;2023-01-15;Norway
121;Ulrika;Ullsten;ulla@telia.se;705556677;2023-02-01;Sweden
122;Viktor;Valund;viktor.v@mail.se;731112233;2023-02-15;Sweden
123;Wendy;West;wendy@world.com;708887766;2023-03-01;UK
124;Xavier;Xon;x@mail.com;767778899;2023-03-15;France
125;Yvonne;Ytter;yvonne@mail.se;701114455;2023-04-01;Sweden
125;Yvonne;Ytter;yvonne@mail.se;701114455;2023-04-01;Sweden
126;Zandra;Zetter;z@web.se;732223344;2023-04-15;Sweden
127;Åke;Åkesson;ake@mail.se;704443322;2023-05-01;Sweden
128;Ängla;Ärlig;angla@heaven.com;765554433;2023-05-15;Sweden
129;Örjan;Öst;orjan@east.se;707778899;2023-06-01;Sweden
130;Adam;Alm;adam@mail.se;731113344;2023-06-15;Sweden
131;Beata;Blixt;beata@thunder.se;709990011;2023-07-01;Sweden
132;Calle;Cool;calle@mail.com;761112233;2023-07-15;Sweden
133;Doris;Dahl;doris@mail.se;704445566;2023-08-01;Norway
134;Eskil;Ek;eskil@woods.se;736667788;2023-08-15;Sweden
135;Fia;Falk;fia@birds.se;702221100;2023-09-01;Sweden
136;Gert;Grip;gert@mail.se;768887766;2023-09-15;Sweden
137;Hanna;Hög;hanna@mail.se;705554433;2023-10-01;Sweden
138;Isak;Is;isak@cold.se;732221100;2023-10-15;Sweden
139;Julia;Jul;julia@xmas.se;701110099;2023-11-01;Sweden
140;Kalle;Kula;kalle@mail.se;764443322;2023-11-15;Sweden
141;Lisa;Lund;lisa@mail.se;707776655;2023-12-01;Sweden
142;Moa;Mörk;moa@night.se;733334455;2023-12-15;Sweden
143;Nisse;Natt;nisse@night.se;702223344;2024-01-01;Sweden
144;Oda;Orre;oda@birds.se;761110011;2024-01-15;Norway
145;Pelle;Pott;pelle@mail.se;704445566;2024-02-01;Sweden
146;Quinn;Queen;quinn@royal.se;736667788;2024-02-15;UK
147;Rosa;Räv;rosa@fox.se;702221100;2024-03-01;Sweden
148;Stina;Sten;stina@rock.se;768887766;2024-03-15;Sweden
149;Ture;Tur;ture@luck.se;705554433;2024-04-01;Sweden
150;Ulla;Under;ulla@mail.se;732221100;2024-04-15;Sweden
151;Valter;Varg;valter@wolf.se;701110099;2024-05-01;Sweden
152;Wilma;Wind;wilma@storm.se;764443322;2024-05-15;Sweden
153;Xena;Warrior;xena@battle.com;707776655;2024-06-01;Greece
154;Yngve;Yxa;yngve@tools.se;733334455;2024-06-15;Sweden
155;Zelda;Zink;zelda@metal.se;702223344;2024-07-01;Sweden
156;Ågot;Åska;agot@thunder.se;761110011;2024-07-15;Norway
157;Ärla;Älv;arla@river.se;704445566;2024-08-01;Sweden
158;Östen;Öre;osten@money.se;736667788;2024-08-15;Sweden
159;Alf;Alm;alf@mail.se;702221100;2024-09-01;Sweden
160;Bea;Bok;bea@read.se;768887766;2024-09-15;Sweden
161;Clas;Clown;clas@fun.se;705554433;2024-10-01;Sweden
162;Dan;Damm;dan@dust.se;732221100;2024-10-15;Sweden
163;Evy;Eld;evy@fire.se;701110099;2024-11-01;Sweden
164;Filip;Fisk;filip@ocean.se;764443322;2024-11-15;Sweden
165;Gry;Guld;gry@gold.se;707776655;2024-12-01;Norway
166;Hedvig;Hatt;hedvig@wear.se;733334455;2024-12-15;Sweden
167;Ivar;Is;ivar@cold.se;702223344;2025-01-01;Sweden
168;Jon;Jord;jon@earth.se;761110011;2025-01-15;Sweden
169;Kia;Katt;kia@pets.se;704445566;2025-02-01;Sweden
170;Leo;Lejon;leo@zoo.se;736667788;2025-02-15;Sweden
171;Mia;Mus;mia@pets.se;702221100;2025-03-01;Sweden
172;Noa;Noshörning;noa@zoo.se;768887766;2025-03-15;Sweden
173;Oa;Orm;oa@snakes.se;705554433;2025-04-01;Sweden
174;Pia;Panda;pia@zoo.se;732221100;2025-04-15;Sweden
175;Ria;Råtta;ria@pets.se;701110099;2025-05-01;Sweden
176;Sia;Säl;sia@ocean.se;764443322;2025-05-15;Sweden
177;Tea;Tiger;tea@zoo.se;707776655;2025-06-01;Sweden
178;Ua;Uggla;ua@birds.se;733334455;2025-06-15;Sweden
179;Via;Varg;via@wolf.se;702223344;2025-07-01;Sweden
180;Xia;Xylofon;xia@music.se;761110011;2025-07-15;Sweden
181;Yia;Ytter;yia@mail.se;704445566;2025-08-01;Sweden
182;Zia;Zebra;zia@zoo.se;736667788;2025-08-15;Sweden
183;Åia;Åsna;aia@farm.se;702221100;2025-09-01;Sweden
184;Äia;Älg;aia@forest.se;768887766;2025-09-15;Sweden
185;Öia;Örn;oia@birds.se;705554433;2025-10-01;Sweden
186;Bob;Bäver;bob@dam.se;732221100;2025-10-15;Canada
187;Cia;Citron;cia@fruit.se;701110099;2025-11-01;Sweden
188;Dia;Dadel;dia@fruit.se;764443322;2025-11-15;Sweden
189;Eia;Ek;eia@woods.se;707776655;2025-12-01;Sweden
190;Fia;Fiol;fia@music.se;733334455;2025-12-15;Sweden
191;Gia;Gitarr;gia@music.se;702223344;2026-01-01;Sweden
192;Hia;Harp;hia@music.se;761110011;2026-01-15;Sweden
193;Iia;Is;iia@cold.se;704445566;2026-02-01;Sweden
194;Jia;Järn;jia@metal.se;736667788;2026-02-15;Sweden
195;Kia;Koppar;kia@metal.se;702221100;2026-03-01;Sweden
196;Lia;Lera;lia@earth.se;768887766;2026-03-15;Sweden
197;Mia;Marmor;mia@stone.se;705554433;2026-04-01;Sweden
198;Nia;Nickel;nia@metal.se;732221100;2026-04-15;Sweden
